NAME,SSN,LANGUAGE,JOB,HEIGHT_M,WEIGHT_KG,fev_pct,dyspnea_description,distance_in_meters,hospital
Vanessa Roberts,295-82-3703,Belarusian,Teacher English as a foreign language,1.72,90.28,57.73,STOPS AFTER A FEW MINUTES,367.9,ST.LUKE'S
Christopher Fox,286-30-9664,Macedonian,Local government officer,1.64,83.09,61.6,WHEN HURRYING,184.16,SAINT LOUIS UNIVERSITY
Benjamin Johnston,139-07-4381,Kirghiz,Multimedia programmer,1.61,94.91,83.11,BREATHLESS WHEN DRESSING,260.66,BJC
Christopher Hernandez,687-37-0804,South Ndebele,Community education officer,1.67,81.55,70.51,STOPS AFTER A FEW MINUTES,315.45,MISSOURI BAPTIST
Valerie Burch,063-59-5740,Quechua,Research scientist (life sciences),1.77,84.52,67.14,WALKING UPHILL,360.36,BJC WEST COUNTY
Heather Hart,393-88-2622,Telugu,Barrister,1.68,83.23,79.15,ONLY STRENUOUS EXERCISE,120.91,SAINT LOUIS UNIVERSITY
Ronald Cobb,580-53-4195,Azerbaijani,IT technical support officer,1.66,100.52,58.8,WHEN HURRYING,79.59,ST.MARY'S
Austin French,633-29-4022,Italian,Dentist,1.77,115.61,35.44,WALKING UPHILL,69.2,SAINT LOUIS UNIVERSITY
Mary Leonard,566-71-8334,Sichuan Yi,Telecommunications researcher,1.66,79.25,29.56,BREATHLESS WHEN DRESSING,237.84,BJC
Mrs. Nicole Smith,372-27-5770,Luxembourgish,Administrator,1.7,99.65,63.87,STOPS AFTER 100 YARDS,161.59,ST.MARY'S
Ashley Warren,613-63-5802,Kongo,Therapist speech and language,1.68,103.8,27.5,STOPS AFTER 100 YARDS,249.86,BJC
Jeffrey Jacobson,849-70-5207,Sindhi,Restaurant manager,1.56,78.69,39.03,WALKING UPHILL,236.62,BJC WEST COUNTY
Angela Bauer,873-36-8278,Aymara,Customer service manager,1.76,84.88,88.2,STOPS AFTER A FEW MINUTES,14.4,BJC WEST COUNTY
Jerry Rogers,448-37-6064,Ganda,Chartered certified accountant,1.66,102.01,58.61,UNABLE TO LEAVE HOME,345.36,BJC
Lisa Beck,325-19-7685,Serbian,Insurance underwriter,1.59,109.7,49.69,WHEN HURRYING,375.22,BJC
Bryan Pena,159-50-0766,Assamese,Scientist research (medical),1.53,110.0,59.27,STOPS AFTER 100 YARDS,131.99,SAINT LOUIS UNIVERSITY
Jessica Henderson,662-85-6455,Tatar,Homeopath,1.61,82.99,92.85,STOPS AFTER A FEW MINUTES,326.82,SAINT LOUIS UNIVERSITY
Daniel Mitchell,210-90-0620,Ossetian,Further education lecturer,1.5,110.08,47.75,WALKING UPHILL,339.87,MISSOURI BAPTIST
Melanie Graham,035-82-9139,Esperanto,Financial manager,1.58,117.41,91.63,BREATHLESS WHEN DRESSING,255.96,BJC
Deborah Jimenez,768-90-9819,Interlingue,Environmental education officer,1.68,86.8,74.8,STOPS AFTER 100 YARDS,106.31,MISSOURI BAPTIST
Kathryn Rasmussen,705-48-6000,Pushto,Psychiatric nurse,1.69,81.84,65.73,WALKING UPHILL,263.27,BJC WEST COUNTY
Brian Leon,372-74-9099,Uzbek,Professor Emeritus,1.53,101.12,80.16,SLOWER THAN PEERS,61.94,BJC
Robert Walker,112-50-0726,Ossetian,Investment analyst,1.68,101.39,40.5,SLOWER THAN PEERS,96.01,MISSOURI BAPTIST
Drew Case,531-13-3735,Bulgarian,Investment analyst,1.66,108.75,60.47,STOPS WHEN WALKING AT PACE,21.91,MISSOURI BAPTIST
Joshua Finley,179-26-6570,Afrikaans,Pharmacologist,1.68,108.5,39.12,WALKING UPHILL,153.87,ST.LUKE'S
Danny Smith,183-14-2080,Hebrew,Water engineer,1.69,93.05,62.1,ONLY STRENUOUS EXERCISE,189.01,BJC
Jennifer Smith,081-25-6118,Malay,Engineer manufacturing,1.75,88.63,32.77,BREATHLESS WHEN DRESSING,319.34,SAINT LOUIS UNIVERSITY
John Figueroa,293-28-3511,Western Frisian,Editorial assistant,1.74,103.43,91.36,WALKING UPHILL,16.88,ST.LUKE'S
William Whitehead,847-30-6360,Sanskrit,Control and instrumentation engineer,1.61,104.63,82.66,STOPS WHEN WALKING AT PACE,18.23,ST.MARY'S
Paul Trujillo,451-37-7380,Ndonga,Buyer industrial,1.52,106.91,59.76,STOPS AFTER 100 YARDS,111.23,ST.LUKE'S
Tiffany Lewis,551-09-9692,Tagalog,Research scientist (medical),1.59,79.56,66.84,STOPS AFTER 100 YARDS,379.74,SAINT LOUIS UNIVERSITY
Randall Horn,363-83-9355,Hindi,Astronomer,1.67,80.79,91.69,BREATHLESS WHEN DRESSING,377.65,ST.MARY'S
Christopher Maldonado,039-37-6928,Luxembourgish,Museum/gallery exhibitions officer,1.77,88.71,70.99,STOPS AFTER 100 YARDS,94.77,MISSOURI BAPTIST
Darren Fletcher,607-40-4072,Croatian,Politician's assistant,1.78,94.84,91.86,SLOWER THAN PEERS,219.09,BJC WEST COUNTY
Nathan Arnold,593-72-8403,Hebrew,Regulatory affairs officer,1.61,103.59,91.93,UNABLE TO LEAVE HOME,111.57,SAINT LOUIS UNIVERSITY
Jamie Reeves,728-22-9236,Ukrainian,Media planner,1.52,84.01,64.51,UNABLE TO LEAVE HOME,176.7,ST.LUKE'S
Ian Murphy,760-31-4967,Divehi,Nurse mental health,1.62,85.69,85.15,SLOWER THAN PEERS,161.74,MISSOURI BAPTIST
Edward Blackwell,792-43-5938,Ossetian,Legal executive,1.76,92.74,76.12,STOPS AFTER 100 YARDS,268.35,MISSOURI BAPTIST
Allen Lee,877-57-6198,Telugu,Chartered legal executive (England and Wales),1.7,97.61,37.7,WALKING UPHILL,195.09,ST.MARY'S
Anthony Dorsey,522-83-7210,Igbo,Insurance underwriter,1.59,103.33,29.36,WALKING UPHILL,175.59,MISSOURI BAPTIST
John Fitzpatrick,306-69-8263,Kurdish,Advertising account executive,1.79,98.27,86.98,ONLY STRENUOUS EXERCISE,228.1,ST.MARY'S
Erin Ortiz,756-08-0963,Urdu,Conservation officer historic buildings,1.75,83.44,96.69,STOPS AFTER 100 YARDS,221.99,ST.MARY'S
Amanda Garcia,164-93-9558,Divehi,Software engineer,1.77,91.59,39.68,WHEN HURRYING,24.25,MISSOURI BAPTIST
Michael Rangel,621-87-6854,Thai,Local government officer,1.52,82.99,40.2,UNABLE TO LEAVE HOME,261.95,ST.LUKE'S
John Snyder,242-02-6117,Somali,Occupational psychologist,1.63,93.33,86.96,WHEN HURRYING,210.69,BJC WEST COUNTY
Dana Mcdonald,030-82-8104,Japanese,Engineer energy,1.69,98.81,64.6,STOPS AFTER 100 YARDS,244.85,ST.MARY'S
Selena Rocha,869-53-4064,Bosnian,Forensic scientist,1.57,117.1,78.38,UNABLE TO LEAVE HOME,171.51,BJC WEST COUNTY
Anna Lopez,855-86-8099,Kashmiri,Oncologist,1.65,91.03,56.3,WHEN HURRYING,69.39,MISSOURI BAPTIST
Keith Smith,556-58-6048,Igbo,Community arts worker,1.58,88.54,84.65,SLOWER THAN PEERS,250.58,MISSOURI BAPTIST
Bryan Smith,618-26-7296,Mongolian,Dentist,1.8,87.36,62.77,SLOWER THAN PEERS,208.01,MISSOURI BAPTIST
Jennifer Tyler,573-55-7435,Irish,Rural practice surveyor,1.64,116.87,27.23,WALKING UPHILL,339.07,BJC WEST COUNTY
Lynn Black,685-81-8202,Twi,Event organiser,1.7,103.86,90.36,SLOWER THAN PEERS,252.59,ST.LUKE'S
Alan Johnson,135-79-5942,Sardinian,Doctor hospital,1.62,103.26,82.89,SLOWER THAN PEERS,170.36,BJC WEST COUNTY
Melinda Summers,283-60-0960,Venda,Quality manager,1.76,81.97,69.29,SLOWER THAN PEERS,141.55,MISSOURI BAPTIST
Larry Waters,728-41-5476,Ukrainian,Proofreader,1.77,99.11,56.18,BREATHLESS WHEN DRESSING,140.81,MISSOURI BAPTIST
Roy Alvarez,837-66-6680,Sichuan Yi,Agricultural engineer,1.77,94.6,41.34,BREATHLESS WHEN DRESSING,241.71,SAINT LOUIS UNIVERSITY
David Wong,386-42-8730,Persian,Licensed conveyancer,1.62,98.6,99.1,STOPS AFTER 100 YARDS,356.44,MISSOURI BAPTIST
Pedro Kelly,692-11-4596,Icelandic,Industrial/product designer,1.51,96.39,99.22,STOPS AFTER 100 YARDS,172.41,ST.LUKE'S
David Robertson,339-25-9456,Hindi,Intelligence analyst,1.63,85.15,53.68,STOPS WHEN WALKING AT PACE,303.03,ST.LUKE'S
William Mayo,456-07-4088,Walloon,Administrator charities/voluntary organisations,1.7,80.7,60.34,SLOWER THAN PEERS,246.07,MISSOURI BAPTIST
Beth Perkins,214-62-2234,Chamorro,Hospital pharmacist,1.54,99.72,77.98,UNABLE TO LEAVE HOME,265.33,BJC WEST COUNTY
Robert Pierce,315-23-3027,Herero,Manufacturing engineer,1.73,85.98,57.92,UNABLE TO LEAVE HOME,171.55,ST.LUKE'S
Rebecca Jones,862-32-7495,Sundanese,Multimedia specialist,1.62,115.58,75.98,WALKING UPHILL,141.18,ST.LUKE'S
Christina Johnson,028-54-7143,Aragonese,Chief of Staff,1.55,113.3,80.71,WALKING UPHILL,93.93,SAINT LOUIS UNIVERSITY
Denise Powell,362-17-2066,Oromo,Museum/gallery exhibitions officer,1.63,85.97,78.01,WHEN HURRYING,246.32,BJC WEST COUNTY
Patrick Costa,176-93-9618,Polish,Legal executive,1.63,93.12,38.35,WHEN HURRYING,1.71,ST.LUKE'S
Scott Campbell,286-69-6988,Korean,Higher education careers adviser,1.76,99.02,86.0,UNABLE TO LEAVE HOME,267.67,ST.MARY'S
Cassandra Flores,782-11-9903,Danish,Graphic designer,1.76,106.61,33.55,STOPS AFTER 100 YARDS,206.17,MISSOURI BAPTIST
Brandon Lee,494-01-5188,Shona,Research scientist (life sciences),1.74,95.61,66.82,WHEN HURRYING,85.0,ST.MARY'S
Katie Reed,865-54-0293,Vietnamese,Photographer,1.51,107.78,78.6,UNABLE TO LEAVE HOME,359.67,ST.LUKE'S
Thomas Gonzalez,704-60-2793,Norwegian,Training and development officer,1.62,80.82,70.84,SLOWER THAN PEERS,169.4,ST.LUKE'S
Kayla Mcdowell,733-54-8348,Sanskrit,Broadcast engineer,1.72,112.6,53.25,WALKING UPHILL,392.64,ST.LUKE'S
Edward Wallace,488-92-4816,Afar,Corporate treasurer,1.73,108.15,50.48,UNABLE TO LEAVE HOME,12.24,ST.LUKE'S
Laura Chaney,546-81-5268,Avaric,Research scientist (life sciences),1.51,101.67,93.34,STOPS AFTER 100 YARDS,139.87,ST.LUKE'S
Dr. William Clark II,549-20-3807,Hindi,Herbalist,1.78,89.45,68.92,UNABLE TO LEAVE HOME,231.83,BJC
Jared Sherman,155-71-2072,Esperanto,Ergonomist,1.7,110.66,88.58,WHEN HURRYING,84.96,BJC WEST COUNTY
David Martin,568-75-7396,French,TEFL teacher,1.63,79.51,34.4,STOPS WHEN WALKING AT PACE,259.71,SAINT LOUIS UNIVERSITY
Yolanda Hall,418-23-1600,Ndonga,Chief Marketing Officer,1.61,92.96,41.84,STOPS AFTER A FEW MINUTES,354.06,ST.LUKE'S
Jasmine Brown,454-29-6625,Latin,Embryologist clinical,1.62,91.71,27.61,STOPS AFTER A FEW MINUTES,226.54,ST.LUKE'S
Laurie Campbell,620-25-7725,Dutch,Administrator sports,1.53,98.42,28.28,SLOWER THAN PEERS,199.83,BJC
Dillon Jones,734-09-4582,Divehi,Probation officer,1.51,96.72,43.13,STOPS AFTER 100 YARDS,167.47,MISSOURI BAPTIST
Stephen Perez,757-25-5491,English,Youth worker,1.51,87.26,33.9,WALKING UPHILL,307.32,MISSOURI BAPTIST
James Walls,858-61-4987,Tsonga,Psychologist counselling,1.72,93.08,56.72,WHEN HURRYING,140.09,SAINT LOUIS UNIVERSITY
Ronnie Mathews,434-68-6780,Luba-Katanga,Insurance risk surveyor,1.62,81.73,41.85,STOPS WHEN WALKING AT PACE,54.96,ST.LUKE'S
Melissa Thompson,306-83-4242,Occitan,Administrator Civil Service,1.65,87.4,95.91,UNABLE TO LEAVE HOME,185.07,BJC
Misty Leonard,807-19-5680,Kashmiri,Applications developer,1.53,82.63,33.34,BREATHLESS WHEN DRESSING,6.76,ST.MARY'S
Monica Bradford,738-96-5643,Javanese,Designer interior/spatial,1.8,94.37,81.53,WHEN HURRYING,21.29,SAINT LOUIS UNIVERSITY
Angela Jordan,798-91-2920,Kashmiri,Oceanographer,1.57,107.35,35.81,STOPS AFTER A FEW MINUTES,366.74,MISSOURI BAPTIST
Stephanie Brown,035-84-4046,Limburgan,Engineer technical sales,1.63,79.25,35.54,SLOWER THAN PEERS,382.67,ST.LUKE'S
Anthony Davis,549-83-1452,Kashmiri,Building services engineer,1.54,110.97,34.52,STOPS AFTER 100 YARDS,320.8,MISSOURI BAPTIST
Maria Davis,483-32-9012,Hausa,Exercise physiologist,1.68,101.02,87.41,SLOWER THAN PEERS,255.6,SAINT LOUIS UNIVERSITY
Kelly Patterson,865-74-9407,Marshallese,Publishing copy,1.63,91.8,28.57,ONLY STRENUOUS EXERCISE,184.49,ST.MARY'S
Ryan Pittman Jr.,660-80-3072,Georgian,Firefighter,1.63,115.03,59.51,BREATHLESS WHEN DRESSING,35.78,ST.LUKE'S
Jonathan Stein,659-32-4026,English,Scientist research (life sciences),1.71,95.73,87.88,BREATHLESS WHEN DRESSING,332.94,SAINT LOUIS UNIVERSITY
Alex Cooper,252-20-4387,Wolof,Market researcher,1.76,93.88,56.44,WHEN HURRYING,389.77,BJC
Kelly Jordan,349-22-8636,Romanian,Therapist drama,1.74,81.53,88.92,UNABLE TO LEAVE HOME,390.9,MISSOURI BAPTIST
Andrea Lopez,066-07-5299,Uzbek,Agricultural engineer,1.53,105.2,96.82,STOPS AFTER 100 YARDS,74.27,ST.MARY'S
Paul Tucker,563-09-6495,Russian,Insurance risk surveyor,1.5,85.73,69.11,STOPS WHEN WALKING AT PACE,196.81,ST.LUKE'S
Cynthia Murphy,432-82-3957,Finnish,Surveyor building control,1.54,84.45,74.69,SLOWER THAN PEERS,189.82,BJC WEST COUNTY
Matthew Lewis,631-91-6975,Avaric,Education officer environmental,1.78,78.72,97.97,WALKING UPHILL,65.58,BJC WEST COUNTY
Austin Sanders,166-18-8052,Albanian,Tax inspector,1.7,98.39,99.57,UNABLE TO LEAVE HOME,352.99,BJC
Ronald Phillips,294-59-7394,Lao,Scientist marine,1.58,87.6,49.21,BREATHLESS WHEN DRESSING,61.01,SAINT LOUIS UNIVERSITY
John Snow,336-19-8859,Assamese,Therapist occupational,1.64,109.59,29.5,UNABLE TO LEAVE HOME,126.37,BJC
Joan Hahn,454-50-5087,French,Psychiatrist,1.68,115.77,43.28,WHEN HURRYING,202.42,BJC
Daniel Camacho,803-13-8876,Shona,Teacher music,1.7,95.11,28.02,WHEN HURRYING,394.52,BJC WEST COUNTY
Gary Martin,326-10-0523,Malayalam,Land/geomatics surveyor,1.55,110.32,82.39,WALKING UPHILL,20.19,BJC WEST COUNTY
Christina Moyer,212-28-4526,Assamese,Advice worker,1.58,93.0,37.42,SLOWER THAN PEERS,275.86,MISSOURI BAPTIST
Derek Gibson,421-61-9161,Tahitian,Animal technologist,1.63,105.22,44.15,STOPS AFTER A FEW MINUTES,394.21,MISSOURI BAPTIST
Michael Fox,099-21-2526,Macedonian,Associate Professor,1.51,117.14,37.52,STOPS AFTER A FEW MINUTES,268.29,ST.LUKE'S
Alex Terry,333-07-8870,Quechua,Public affairs consultant,1.56,101.85,95.36,STOPS AFTER A FEW MINUTES,141.19,BJC
Kelsey Hill,239-20-1255,Faroese,Management consultant,1.6,110.83,55.63,SLOWER THAN PEERS,89.71,SAINT LOUIS UNIVERSITY
Dana Wise,373-98-8928,Ganda,Ranger/warden,1.58,93.77,51.18,WHEN HURRYING,200.13,SAINT LOUIS UNIVERSITY
